gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,reference_model,adjusted_model,effect_difference,effect_direction_agreement,significance_retained
ECHDC3,0.649216775848948,0.0126536169078762,0.542372439963591,0.0601440576043923,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.10684433588535702,True,False
CARTPT,0.528950404176235,0.0135744272418994,0.444865719250944,0.0595473378607196,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.08408468492529098,True,False
GCG,-0.753269060171181,0.0164624931940192,-0.56930037523711,0.102107774673097,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.18396868493407104,True,False
PLA2G2A,0.723440419402818,0.0175926836665273,0.651811984940807,0.0532638933203306,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.07162843446201095,True,False
TMED6,-0.513315018652058,0.0186532015477562,-0.362363807219699,0.132363196775228,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.15095121143235896,True,False
MT1JP,0.581334528852961,0.0229351641682019,0.537677090334595,0.0575550041827562,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.04365743851836601,True,False
SST,-0.601580413370945,0.030371580224668,-0.230994607487213,0.457333771142383,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.370585805883732,True,False
GBP3,-0.540881952502819,0.0325241876769329,-0.407113670487991,0.14538154565676,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.133768282014828,True,False
CCL18,0.638967163004985,0.0393039988308349,0.47542565511507,0.170223467879488,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.163541507889915,True,False
BTNL8,-0.856739908276206,0.044423073795912,-0.647008171220775,0.174036293945727,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.20973173705543102,True,False
RPS4Y1,1.09120729389606,0.0534615746344836,-0.0592550396231363,0.399324065560583,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-1.1504623335191964,False,False
KDM5D,0.458204469217891,0.0828464244411113,-0.08522905626413,0.255188365765177,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.543433525482021,False,False
XIST,-0.692172538149336,0.104969885749684,0.250209115544437,0.0252925342545722,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.942381653693773,False,False
EIF1AY,0.65863898634215,0.156434048291342,-0.291798272224848,1.2576990861045e-06,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.950437258566998,False,False
MRPS21,-0.105846932192962,0.159402319402263,0.0053468693802024,0.952148336751005,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.1111938015731644,False,False
KCNJ15,0.0250018402529138,0.430740039965219,-0.0044573341840203,0.905253393674645,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.029459174436934098,False,False
HSP90AA1,-0.049035898233662,0.4320515266691,0.0040720429316716,0.957185303099257,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0531079411653336,False,False
OR52A5,-0.0382122387084451,0.441839393791286,0.0150789267275823,0.788544562359921,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.053291165436027396,False,False
NCCRP1,-0.0841659233217943,0.456607431666,0.0087508600691839,0.948449160909509,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0929167833909782,False,False
LHX9,0.0162792101715113,0.526266362096874,-0.0036524141610706,0.902912252386273,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.0199316243325819,False,False
PGAM4,-0.0266950276155672,0.533789052499984,0.0202484244266497,0.663241199126375,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0469434520422169,False,False
PCMTD1-DT,-0.02839351421264,0.534475916455946,0.0101552970672166,0.847511561227735,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0385488112798566,False,False
CDH22,-0.0234985554466812,0.536099395010413,0.0011364207396833,0.980609249085761,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0246349761863645,False,False
LOC100134391,-0.0246880815792938,0.543467148634236,0.0011360560458325,0.981846076442462,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.025824137625126302,False,False
IL2RG,-0.108229221952341,0.54356799491617,0.0455697668189781,0.820141243023766,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.1537989887713191,False,False
DDX3X,-0.0414963611616327,0.544797851881122,0.0212458796569165,0.778875450512628,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0627422408185492,False,False
DIPK1C,0.0365532652353044,0.546802353728916,-0.002381889618601,0.974797438123013,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.038935154853905404,False,False
CYP3A4,-0.112911722899284,0.549256329461814,0.0022410450470334,0.99230350315189,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.1151527679463174,False,False
ZNF326,-0.0432924186077609,0.550092880998959,0.0030463619245761,0.973163946896759,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.046338780532337004,False,False
GRM8,-0.0534770912642474,0.550092880998959,0.0111980132941698,0.914382534447662,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0646751045584172,False,False
ATXN1,0.0347198914841928,0.55090683447188,-0.0006342949028887,0.99282751062063,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.0353541863870815,False,False
DIP2C-AS1,0.0426241412507549,0.554443311528516,-0.0018377840500692,0.983190420114316,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.0444619253008241,False,False
ABCC2,0.0211395548759233,0.554588271362797,-0.0028525269468476,0.946152160197851,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.023992081822770902,False,False
STXBP5L,-0.0154387123296257,0.555619833864937,4.39671177554128e-05,0.998920219902104,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.015482679447381112,False,False
MT1X,0.105178341180186,0.556957614035259,-0.0100254531236193,0.963322004629949,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.1152037943038053,False,False
ZBED10P,0.0511349446000442,0.559336098707285,-0.0020068860933819,0.984826474880559,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,-0.0531418306934261,False,False
GEMIN6,-0.042383292882109,0.562385101709111,0.0134617802309116,0.874334181878905,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0558450731130206,False,False
HSP90AA4P,-0.0370192994582317,0.562601175502492,0.0049757446717236,0.947794748895267,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0419950441299553,False,False
FBLN7,-0.020634356403758,0.562914115484206,0.0011142060384237,0.97984095946155,False,False,False,False,False,True,U0_unadjusted,U1_age_sex_adjusted,0.0217485624421817,False,False
