probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715317_s_at,CGB7,94027.0,6,6,ambiguous,GSE44076
11715317_s_at,CGB8,94115.0,6,6,ambiguous,GSE44076
11715318_s_at,CYP2C19,1557.0,1,1,mapped_unique,GSE44076
11715319_s_at,MAGEA1,4100.0,1,1,mapped_unique,GSE44076
11715320_s_at,TTN,7273.0,1,1,mapped_unique,GSE44076
11715321_x_at,KRTAP10-8,386681.0,1,1,mapped_unique,GSE44076
11715322_s_at,FABP12,646486.0,1,1,mapped_unique,GSE44076
11715323_s_at,NKX1-2,390010.0,1,1,mapped_unique,GSE44076
11715324_s_at,PPIAL4A,653505.0,5,5,ambiguous,GSE44076
11715324_s_at,PPIAL4C,653598.0,5,5,ambiguous,GSE44076
11715324_s_at,PPIAL4E,730262.0,5,5,ambiguous,GSE44076
11715324_s_at,PPIAL4F,728945.0,5,5,ambiguous,GSE44076
11715324_s_at,PPIAL4G,644591.0,5,5,ambiguous,GSE44076
11715325_at,VSTM5,387804.0,1,1,mapped_unique,GSE44076
11715326_s_at,VSTM5,387804.0,1,1,mapped_unique,GSE44076
11715327_x_at,ZNG1A,55871.0,2,2,ambiguous,GSE44076
11715327_x_at,ZNG1C,445571.0,2,2,ambiguous,GSE44076
11715328_at,SPATA31D3,389762.0,1,1,mapped_unique,GSE44076
11715329_at,SLC6A15,55117.0,1,1,mapped_unique,GSE44076
11715330_x_at,ZNF735,730291.0,1,1,mapped_unique,GSE44076
11715331_x_at,DSN1,79980.0,1,1,mapped_unique,GSE44076
11715332_at,NXNL2,158046.0,1,1,mapped_unique,GSE44076
11715333_s_at,NXNL2,158046.0,1,1,mapped_unique,GSE44076
11715334_s_at,NXNL2,158046.0,1,1,mapped_unique,GSE44076
11715335_at,OR6P1,128366.0,1,1,mapped_unique,GSE44076
11715336_x_at,SP9,100131390.0,1,1,mapped_unique,GSE44076
11715337_s_at,GH1,2688.0,2,2,ambiguous,GSE44076
11715337_s_at,GH2,2689.0,2,2,ambiguous,GSE44076
11715338_s_at,DCAF12L2,340578.0,1,1,mapped_unique,GSE44076
11715339_at,TTN,7273.0,1,1,mapped_unique,GSE44076
11715340_s_at,CT47A1,728096.0,13,13,ambiguous,GSE44076
